epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,8264.71,0.50467,0.37272,0.96248,0.99238,0.98737,0.98987,0.97002,0.25505,0.13495,0.74292,0.005281,0.005281,0.005281
145,8321.31,0.50713,0.37481,0.96451,0.99327,0.98771,0.99,0.97025,0.25013,0.13286,0.74078,0.005248,0.005248,0.005248
146,8378.44,0.50988,0.3743,0.96611,0.9932,0.98751,0.98984,0.97052,0.24963,0.13432,0.74081,0.005215,0.005215,0.005215
147,8434.79,0.50606,0.37307,0.96362,0.99295,0.98738,0.98978,0.97096,0.24882,0.1341,0.74071,0.005182,0.005182,0.005182
148,8490.92,0.50489,0.37405,0.96398,0.99193,0.98882,0.9899,0.9713,0.24971,0.13234,0.74087,0.005149,0.005149,0.005149
149,8547.35,0.50505,0.3758,0.9679,0.99396,0.98719,0.99004,0.9715,0.24975,0.13199,0.74108,0.005116,0.005116,0.005116
150,8603.87,0.50262,0.36998,0.96246,0.99369,0.98713,0.9899,0.9715,0.24929,0.13137,0.74051,0.005083,0.005083,0.005083
151,8659.92,0.50517,0.37352,0.96596,0.99309,0.98865,0.99001,0.9717,0.24878,0.13108,0.74049,0.00505,0.00505,0.00505
152,8715.92,0.50359,0.37279,0.96469,0.99421,0.9881,0.98998,0.97173,0.24743,0.13127,0.74047,0.005017,0.005017,0.005017
153,8772.58,0.50285,0.37218,0.96228,0.99464,0.98714,0.99011,0.97175,0.24762,0.13068,0.73998,0.004984,0.004984,0.004984
154,8828.95,0.49973,0.36714,0.96197,0.99483,0.98771,0.99015,0.97111,0.24901,0.12955,0.74003,0.004951,0.004951,0.004951
155,8884.58,0.50052,0.36358,0.96173,0.99375,0.98795,0.99017,0.97184,0.2467,0.12847,0.73943,0.004918,0.004918,0.004918
156,8940.96,0.50166,0.36584,0.96358,0.99267,0.98885,0.98994,0.97171,0.2461,0.12842,0.73902,0.004885,0.004885,0.004885
157,8997.54,0.50227,0.37429,0.96383,0.99312,0.98859,0.98997,0.97164,0.24697,0.12911,0.73906,0.004852,0.004852,0.004852
158,9053.76,0.49836,0.36648,0.96222,0.99366,0.98808,0.98995,0.97153,0.24745,0.12884,0.7395,0.004819,0.004819,0.004819
159,9110.24,0.49521,0.36652,0.95911,0.99304,0.98805,0.98977,0.97139,0.24913,0.12981,0.73993,0.004786,0.004786,0.004786
160,9166.37,0.50495,0.37141,0.96675,0.99357,0.98799,0.99003,0.97171,0.24706,0.12902,0.73918,0.004753,0.004753,0.004753
161,9222.34,0.50521,0.37006,0.96509,0.99375,0.9881,0.99007,0.97145,0.24663,0.12863,0.73902,0.00472,0.00472,0.00472
162,9278.78,0.50071,0.37082,0.96395,0.99351,0.98833,0.99002,0.97109,0.24711,0.12885,0.73914,0.004687,0.004687,0.004687
163,9335.1,0.5027,0.36741,0.96443,0.99378,0.98805,0.99006,0.97206,0.24613,0.12822,0.73891,0.004654,0.004654,0.004654
164,9391.6,0.495,0.36909,0.96068,0.99384,0.98808,0.98997,0.97218,0.24478,0.12737,0.73884,0.004621,0.004621,0.004621
165,9447.8,0.50073,0.3685,0.96397,0.99474,0.98678,0.99011,0.97243,0.24415,0.12772,0.73864,0.004588,0.004588,0.004588
166,9504.36,0.499,0.36678,0.9638,0.99553,0.98625,0.99005,0.97233,0.24371,0.12798,0.73831,0.004555,0.004555,0.004555
167,9560.36,0.49328,0.3607,0.9591,0.99509,0.98668,0.9901,0.97243,0.24434,0.12766,0.73854,0.004522,0.004522,0.004522
168,9616.27,0.49716,0.3618,0.95961,0.994,0.98805,0.9901,0.97255,0.2443,0.12771,0.73838,0.004489,0.004489,0.004489
169,9672.63,0.49005,0.35824,0.95603,0.99527,0.98727,0.99011,0.97278,0.24426,0.12697,0.73854,0.004456,0.004456,0.004456
170,9728.49,0.49515,0.36521,0.96292,0.99499,0.98748,0.99011,0.97262,0.24485,0.12655,0.73863,0.004423,0.004423,0.004423
171,9784.45,0.49244,0.36015,0.95987,0.99412,0.9877,0.99006,0.97257,0.24454,0.12613,0.73857,0.00439,0.00439,0.00439
172,9840.73,0.49542,0.36584,0.96089,0.99408,0.98745,0.99011,0.97236,0.24484,0.12647,0.73833,0.004357,0.004357,0.004357
173,9896.3,0.49113,0.35951,0.95826,0.99299,0.98856,0.99004,0.97304,0.24285,0.12576,0.73765,0.004324,0.004324,0.004324
174,9952.11,0.4883,0.35709,0.9563,0.99488,0.98749,0.99019,0.97309,0.24224,0.12534,0.73742,0.004291,0.004291,0.004291
175,10007.9,0.49261,0.3567,0.95929,0.99374,0.98858,0.99014,0.97271,0.24271,0.1254,0.7375,0.004258,0.004258,0.004258
176,10064.1,0.48956,0.36003,0.95583,0.9936,0.98861,0.99015,0.97293,0.24183,0.12453,0.73717,0.004225,0.004225,0.004225
177,10120,0.48447,0.35436,0.95458,0.99313,0.98909,0.99017,0.97302,0.2421,0.12485,0.73718,0.004192,0.004192,0.004192
178,10176.6,0.48963,0.358,0.95607,0.99394,0.98803,0.99009,0.97286,0.24275,0.12493,0.73747,0.004159,0.004159,0.004159
179,10233,0.48479,0.35444,0.95714,0.99366,0.98793,0.99002,0.97232,0.24305,0.12513,0.73786,0.004126,0.004126,0.004126
